technology_domain,roadmap_stage,decision_title,core_question,left_choice,right_choice,treasury_effect,energy_compute_effect,political_support_effect,public_welfare_effect,rd_capacity_effect,international_reputation_effect,security_sovereignty_effect,environment_effect,educational_note
Robotics & Automation,any stage,The Warehouse Floor,"Approve the automation rollout, or require a phased transition with retraining?",Approve full automation,Require phased transition,L+4 / R-3,,L-3 / R+2,L-7 / R+3,L+7 / R-3,,,,"The efficiency gains from automation are real — so is the concentrated, immediate harm to displaced workers."
Robotics & Automation,early (stages 1-2),The Testbed Factory,Convert the shipyard?,Convert it,Build a new site,L0 / R-8,,L-3 / R0,L-6 / R+3,L+7 / R-2,,,,Industrial transitions concentrate cost locally while spreading benefit nationally.
Robotics & Automation,early (stages 1-2),Imported Actuators,Import the components?,Import them,Build them domestically,L+4 / R-8,,,,L+6 / R-2,,L-7 / R+7,,Firmware-level supply-chain compromise is extremely difficult to detect after deployment.
Robotics & Automation,late (stage 5),The Port Strike,Proceed with automation?,Automate anyway,Negotiate a transition,L+8 / R-6,,L-6 / R+4,L-9 / R+6,L+4 / R-3,,,,Port automation disputes have become the sharpest labour conflicts of the automation era.
Robotics & Automation,late (stage 5),Certify the Fleet,Impose strict certification?,Certify strictly,Light-touch rules,L0 / R+3,,,L+6 / R-6,L-5 / R+6,L+5 / R-4,,,Safety regulation usually arrives after the first well-publicized fatality.
Robotics & Automation,mid (stages 3-4),Robots for Elders,Deploy care robots at scale?,Deploy them,Fund human carers,L+7 / R-8,,L0 / R+3,L-5 / R+8,L+5 / R-3,,,,Care robotics tends to substitute for underfunding rather than for labour itself.
Robotics & Automation,mid (stages 3-4),Autonomous Weapons,Develop autonomous weapons?,Develop them,Renounce the application,L+5 / R-3,,,,,L-9 / R+8,L+8 / R-5,,Meaningful human control remains undefined in international law.
Semiconductors,any stage,The Megafab Bet,Commit massive subsidies to a domestic megafab?,Build the megafab,Stay fabless / import,L-14 / R+5,L-6 / R0,,,L+11 / R-4,,L+8 / R-8,,Leading-edge fabs cost tens of billions and concentrate risk geographically.
Semiconductors,any stage,Import the Engineers,Open a fast-track visa for foreign chip engineers?,Open the visa,Train locally only,,,L-7 / R+4,,L+6 / R-4,L+10 / R-3,,,"Advanced fabrication is gated by scarce tacit expertise, not just capital."
Semiconductors,any stage,The Forbidden Contract,Quietly fulfill the restricted contract?,Fulfill it covertly,Comply with controls,L+12 / R-6,,L-10 / R+6,,L+3 / R0,,L-5 / R0,,Export-control regimes depend on members not defecting for short-term gain.
Semiconductors,any stage,Espionage Crackdown,Grant broad counter-espionage powers?,Grant the powers,Targeted measures only,,,,,,L-13 / R+5,L+9 / R+2,,"Industrial espionage is real, but blanket suspicion drives away the talent it aims to protect."
Semiconductors,any stage,A Fab's Thirst,Guarantee the fab priority water and power?,Guarantee resources,Share resources fairly,,,,L-6 / R+5,L+7 / R-4,,L+5 / R0,L-7 / R+3,Fabs are among the most water- and energy-intensive facilities on earth.
Semiconductors,any stage,The Subsidy Bidding War,Match the highest bid or let the fab go elsewhere?,Match the highest bid,Let the fab go elsewhere,L-12 / R+4,,L0 / R-2,,L+7 / R-5,,L+3 / R0,,Subsidy auctions between governments tend to escalate faster than the underlying capability actually grows.
Semiconductors,any stage,When the Chokepoint Breaks,"Activate emergency rationing for domestic industry, or buy your way to the front of the global queue?",Ration domestic supply,Buy to the front of the queue,L0 / R-9,,L+2 / R0,L+2 / R0,L-5 / R+5,L0 / R-3,,,Single-supplier chokepoints turn ordinary supply disruptions into systemic emergencies.
Semiconductors,early (stages 1-2),The Lithography Queue,Buy your way into the queue?,Pay and align,Build mature-node capacity,L-9 / R-3,,,,L+8 / R-4,,L-3 / R+6,,EUV lithography is the most concentrated chokepoint in the technology stack.
Semiconductors,early (stages 1-2),Cleanroom Water,Give the fab priority water?,Prioritize the fab,Fund closed-loop recycling,L0 / R-7,,,L-8 / R+4,L+6 / R0,,,L-4 / R+5,Advanced fabs consume millions of litres of ultrapure water daily.
Semiconductors,late (stage 5),The Export Control Demand,Comply with the export controls?,Comply,Keep selling,L-9 / R+8,,,,,L+4 / R-6,L+5 / R-4,,Controls usually accelerate the target’s drive for self-sufficiency.
Semiconductors,late (stage 5),Monopoly Pricing,Maximize revenue from the position?,Maximize revenue,Price it fairly,L+9 / R-4,,,L-4 / R+3,,L-7 / R+7,,,Monopoly pricing in critical inputs propagates through every downstream sector.
Semiconductors,mid (stages 3-4),Yield Secrets,Share the yield data?,Share with allies,Classify it,L0 / R+3,,,,L+3 / R0,L+6 / R-5,L-6 / R+6,,"Process knowledge, not design, is where fab advantage actually lives."
Semiconductors,mid (stages 3-4),Fabs or Schools,Where does the money go?,Subsidize the fab,Fund the schools,L-9 / R0,,L0 / R+4,L-4 / R+6,L+7 / R-4,,,,Fab subsidies are politically visible; the workforce pipeline rarely is.
Space Technology,any stage,Cut-Price Reusable Launch,"Fast-track the cheaper, less-reviewed launcher?",Fast-track it,Demand full review,L+6 / R-5,,L-4 / R+4,,L+8 / R-3,,L-5 / R0,,Launch economics drive the entire space sector; one failure can erase a reputation.
Space Technology,any stage,Lunar Resource Claim,Stake a unilateral lunar resource claim?,Stake the claim,Wait for a treaty,L+5 / R0,,L-8 / R+7,,L+7 / R-4,,L+3 / R0,,The Outer Space Treaty bans sovereignty claims but is silent on private resource extraction.
Space Technology,any stage,Dual-Use Constellation,Accept military funding for dual-use satellites?,Accept the funding,Keep it civilian,L+10 / R-7,,L-6 / R+5,L-4 / R0,,,L+6 / R0,,"Most space infrastructure is inherently dual-use, complicating arms-control norms."
Space Technology,any stage,Who Cleans the Debris?,Fund an expensive debris-removal mission?,Fund the cleanup,Defer the cost,L-9 / R+4,,L+8 / R0,,,,L0 / R-4,L+6 / R-6,Orbital debris is a classic tragedy of the commons with cascade (Kessler) risk.
Space Technology,any stage,Sell Launch to a Rival Bloc,Take the contract despite diplomatic friction?,Take the money,Decline to protect alliances,L+10 / R-6,,L-7 / R+5,,L+3 / R0,,,,"Launch and satellite access are strategic goods, not ordinary exports."
Space Technology,any stage,The Satellite That Watches Too Much,"Grant the military priority tasking, or keep the constellation civilian-only?",Grant military tasking rights,Keep it civilian-only,L+3 / R-2,,,,,L-5 / R+4,L+7 / R-4,,Dual-use ambiguity is often deliberate — it preserves funding flexibility and diplomatic cover simultaneously.
Space Technology,any stage,Who Cleans Up the Orbit?,"Pay your proportional share into the cleanup fund, or dispute the assessment?",Pay your share,Dispute the assessment,L-5 / R+3,,,,,L+4 / R-5,,L+2 / R0,"Orbital debris is a textbook tragedy of the commons: no single actor caused it, and no single actor can fix it."
Space Technology,early (stages 1-2),The Launch Site,Compulsorily acquire the land?,Take the land,Move the site,L0 / R-8,,L-4 / R0,L-8 / R+4,L+6 / R-2,,,,Large infrastructure repeatedly displaces communities with the least political power.
Space Technology,early (stages 1-2),Dual-Use Launcher,Accept defense co-funding?,Accept co-funding,Keep it civilian,L+8 / R-6,,,,L0 / R-2,L-5 / R+5,L+6 / R0,,Launch and missile technology are physically almost the same problem.
Space Technology,late (stage 5),Debris Liability,Pay into the cleanup fund?,Pay your share,Dispute the bill,L-7 / R+3,,,,,L+5 / R-7,,L+5 / R-3,Orbital debris is the textbook modern tragedy of the commons.
Space Technology,late (stage 5),Weapons in Orbit,Sign the orbital weapons ban?,Sign the ban,Keep the option,,,,,,L+8 / R-7,L-5 / R+8,,"Arms control depends on verification, which orbital systems make unusually hard."
Space Technology,mid (stages 3-4),Who Owns the Regolith,Stake a unilateral claim?,Stake the claim,Push for a treaty,,,,,L+6 / R-4,L-8 / R+8,L+5 / R0,,The Outer Space Treaty bars appropriation of territory but is ambiguous on extracted resources.
Space Technology,mid (stages 3-4),The Risk Margin,Fly on schedule?,Fly on schedule,Stand down,L0 / R-7,,L-4 / R0,L-5 / R+4,L+7 / R0,L0 / R+3,,,"Both Shuttle losses followed known, normalized technical risks."
